ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
126,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH25,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
127,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH26,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
128,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH27,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
129,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH28,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
130,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH29,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
131,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH30,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
132,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH31,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
133,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH32,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
134,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH33,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
135,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH34,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
136,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH35,HVAC CABLE JB TT,HVAC Cable joints - Temperature Transmitter (PT100) Junction Box,3,30,,,
137,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH39,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
138,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH40,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
139,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH41,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
140,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH42,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
141,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH43,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
142,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH44,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
143,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ01-UH45,JTUBE TT,HVAC sockets - Temperature Transmitter (PT100) Junction Box,2,,,,
